

 114: 214.630081, 420.143250 avg loss, 0.000000 rate, 2.902948 seconds, 7296 images, 42.559702 hours left

 115: 197.896545, 397.918579 avg loss, 0.000000 rate, 3.572746 seconds, 7360 images, 42.327117 hours left

 116: 207.297562, 378.856476 avg loss, 0.000000 rate, 3.430458 seconds, 7424 images, 42.141369 hours left

 117: 190.783417, 360.049164 avg loss, 0.000000 rate, 3.352291 seconds, 7488 images, 41.956749 hours left

 118: 192.993118, 343.343567 avg loss, 0.000000 rate, 3.364926 seconds, 7552 images, 41.759669 hours left

 119: 181.882538, 327.197449 avg loss, 0.000000 rate, 3.010462 seconds, 7616 images, 41.565385 hours left

 120: 175.100235, 311.987732 avg loss, 0.000000 rate, 2.512674 seconds, 7680 images, 41.349660 hours left

 121: 212.576309, 302.046600 avg loss, 0.000000 rate, 3.697332 seconds, 7744 images, 41.184849 hours left

 122: 186.015396, 290.443481 avg loss, 0.000000 rate, 3.680455 seconds, 7808 images, 41.018361 hours left

 123: 181.271164, 279.526245 avg loss, 0.000000 rate, 4.590730 seconds, 7872 images, 40.852572 hours left

 124: 217.107742, 273.284393 avg loss, 0.000000 rate, 4.445021 seconds, 7936 images, 40.748623 hours left

 125: 184.220428, 264.377991 avg loss, 0.000000 rate, 3.926160 seconds, 8000 images, 40.636087 hours left

 126: 177.368134, 255.677002 avg loss, 0.000000 rate, 4.256721 seconds, 8064 images, 40.490234 hours left

 127: 182.501114, 248.359421 avg loss, 0.000000 rate, 3.972896 seconds, 8128 images, 40.367756 hours left

 128: 164.201706, 239.943649 avg loss, 0.000000 rate, 4.518239 seconds, 8192 images, 40.227636 hours left

 129: 173.304214, 233.279709 avg loss, 0.000000 rate, 4.202003 seconds, 8256 images, 40.125084 hours left

 130: 169.700623, 226.921799 avg loss, 0.000000 rate, 4.091091 seconds, 8320 images, 40.002596 hours left

 131: 186.185104, 222.848129 avg loss, 0.000000 rate, 5.000332 seconds, 8384 images, 39.873962 hours left

 132: 161.633942, 216.726715 avg loss, 0.000000 rate, 5.668332 seconds, 8448 images, 39.807288 hours left

 133: 189.966888, 214.050735 avg loss, 0.000000 rate, 5.742280 seconds, 8512 images, 39.785124 hours left

 134: 174.200089, 210.065674 avg loss, 0.000000 rate, 5.002556 seconds, 8576 images, 39.768071 hours left

 135: 154.855225, 204.544632 avg loss, 0.000000 rate, 5.235143 seconds, 8640 images, 39.702136 hours left

 136: 158.835419, 199.973709 avg loss, 0.000000 rate, 4.879930 seconds, 8704 images, 39.652291 hours left

 137: 151.929703, 195.169312 avg loss, 0.000000 rate, 4.918497 seconds, 8768 images, 39.579365 hours left

 138: 141.390350, 189.791412 avg loss, 0.000000 rate, 4.552553 seconds, 8832 images, 39.509695 hours left

 139: 131.285370, 183.940811 avg loss, 0.000000 rate, 5.240874 seconds, 8896 images, 39.416594 hours left

 140: 148.828857, 180.429611 avg loss, 0.000000 rate, 4.598148 seconds, 8960 images, 39.369967 hours left

 141: 119.553093, 174.341965 avg loss, 0.000000 rate, 3.702872 seconds, 9024 images, 39.281193 hours left

 142: 102.242615, 167.132034 avg loss, 0.000000 rate, 2.772743 seconds, 9088 images, 39.133960 hours left

 143: 110.564835, 161.475311 avg loss, 0.000000 rate, 2.857234 seconds, 9152 images, 38.948755 hours left

 144: 110.750343, 156.402817 avg loss, 0.000000 rate, 3.384005 seconds, 9216 images, 38.749647 hours left

 145: 129.915436, 153.754074 avg loss, 0.000000 rate, 2.932373 seconds, 9280 images, 38.586803 hours left

 146: 106.186333, 148.997299 avg loss, 0.000000 rate, 3.056439 seconds, 9344 images, 38.427457 hours left

 147: 112.874046, 145.384979 avg loss, 0.000000 rate, 2.484969 seconds, 9408 images, 38.245984 hours left

 148: 90.054314, 139.851913 avg loss, 0.000000 rate, 2.604863 seconds, 9472 images, 38.033538 hours left

 149: 103.097786, 136.176498 avg loss, 0.000000 rate, 2.588581 seconds, 9536 images, 37.826178 hours left

 150: 98.535622, 132.412415 avg loss, 0.000001 rate, 2.593015 seconds, 9600 images, 37.620884 hours left

 151: 95.721786, 128.743347 avg loss, 0.000001 rate, 2.722643 seconds, 9664 images, 37.416584 hours left

 152: 102.714569, 126.140472 avg loss, 0.000001 rate, 2.902822 seconds, 9728 images, 37.283524 hours left

 153: 113.706001, 124.897026 avg loss, 0.000001 rate, 2.727433 seconds, 9792 images, 37.103077 hours left

 154: 100.427696, 122.450096 avg loss, 0.000001 rate, 2.842664 seconds, 9856 images, 36.929336 hours left

 155: 99.991486, 120.204239 avg loss, 0.000001 rate, 3.083421 seconds, 9920 images, 36.763494 hours left

 156: 108.276894, 119.011505 avg loss, 0.000001 rate, 2.849613 seconds, 9984 images, 36.600359 hours left

 157: 98.072342, 116.917587 avg loss, 0.000001 rate, 2.597418 seconds, 10048 images, 36.426639 hours left

 158: 89.335106, 114.159340 avg loss, 0.000001 rate, 2.752050 seconds, 10112 images, 36.234492 hours left

 159: 94.484573, 112.191864 avg loss, 0.000001 rate, 2.764061 seconds, 10176 images, 36.054508 hours left

 160: 98.305557, 110.803230 avg loss, 0.000001 rate, 3.251645 seconds, 10240 images, 35.877347 hours left

 161: 70.100090, 106.732918 avg loss, 0.000001 rate, 2.408113 seconds, 10304 images, 35.734118 hours left

 162: 94.363846, 105.496010 avg loss, 0.000001 rate, 3.051355 seconds, 10368 images, 35.575220 hours left

 163: 95.281181, 104.474525 avg loss, 0.000001 rate, 2.996777 seconds, 10432 images, 35.421618 hours left

 164: 99.435661, 103.970642 avg loss, 0.000001 rate, 3.057036 seconds, 10496 images, 35.268596 hours left

 165: 97.998283, 103.373405 avg loss, 0.000001 rate, 2.532081 seconds, 10560 images, 35.118407 hours left

 166: 85.862328, 101.622299 avg loss, 0.000001 rate, 3.201164 seconds, 10624 images, 34.935664 hours left

 167: 112.735916, 102.733658 avg loss, 0.000001 rate, 3.541260 seconds, 10688 images, 34.798812 hours left

 168: 99.400009, 102.400291 avg loss, 0.000001 rate, 2.641149 seconds, 10752 images, 34.704547 hours left

 169: 84.068504, 100.567116 avg loss, 0.000001 rate, 3.182126 seconds, 10816 images, 34.532461 hours left

 170: 107.727104, 101.283112 avg loss, 0.000001 rate, 3.501691 seconds, 10880 images, 34.397891 hours left

 171: 91.786987, 100.333496 avg loss, 0.000001 rate, 3.658404 seconds, 10944 images, 34.302481 hours left

 172: 112.990044, 101.599152 avg loss, 0.000001 rate, 3.225236 seconds, 11008 images, 34.201866 hours left

 173: 87.702835, 100.209518 avg loss, 0.000001 rate, 3.490526 seconds, 11072 images, 34.073415 hours left

 174: 107.614868, 100.950050 avg loss, 0.000001 rate, 3.229292 seconds, 11136 images, 33.963806 hours left

 175: 99.475739, 100.802620 avg loss, 0.000001 rate, 3.334376 seconds, 11200 images, 33.845549 hours left

 176: 95.554550, 100.277817 avg loss, 0.000001 rate, 3.017254 seconds, 11264 images, 33.727886 hours left

 177: 87.628098, 99.012848 avg loss, 0.000001 rate, 3.060210 seconds, 11328 images, 33.590411 hours left

